material_id,material_name,material_original_price,material_optimized_price,material_type,material_subtype,specialty,procedure_id,procedure_name,procedure_original_cost,procedure_optimized_cost,price_source,surgeon_fullname,surgeon_specific_action
78064,magnetic mats,131.1,131.1,INSTRUMENT,missing,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
77855,suction tubing,8.99,8.99,DISPOSABLE,OTHER_DISPOSABLES,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
78312,thyroid tray,129.1,127.1,INSTRUMENT,missing,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
77814,large drapes,2.99,1.99,DISPOSABLE,DRAPING,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
78502,bone cutters,134.1,126.1,INSTRUMENT,missing,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
78416,yankauer sucker,11.99,7.99,DISPOSABLE,OTHER_DISPOSABLES,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
77831,diathermy machine,446.07,446.07,OTHER,DEVICE,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
81010,disposable monopolar,14.99,11.99,DISPOSABLE,OTHER_DISPOSABLES,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
78023,colorado needle,11.99,8.99,DISPOSABLE,OTHER_DISPOSABLES,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
77821,blade 15,14.99,11.99,DISPOSABLE,OTHER_DISPOSABLES,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
78327,bupivacaine 0.25% with adrenaline,8.25,7.25,DISPOSABLE,LIQUIDS_MEDICINES,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
78507,medium ligaclips,11.99,7.99,DISPOSABLE,OTHER_DISPOSABLES,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
78266,neurosign n400 nerve stimulator monitor,451.41,446.41,OTHER,DEVICE,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
77943,receivers and gallipots,10.99,7.99,DISPOSABLE,OTHER_DISPOSABLES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
77820,10 blade,11.99,7.99,DISPOSABLE,OTHER_DISPOSABLES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
78246,soft tissue tray,131.1,129.1,INSTRUMENT,missing,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
77899,pledgets/lamis,11.99,6.99,DISPOSABLE,OTHER_DISPOSABLES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
77944,light handle,16.99,11.99,DISPOSABLE,OTHER_DISPOSABLES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
78064,magnetic mat,51.72,49.72,INSTRUMENT,missing,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
77946,marker pen,13.99,9.99,DISPOSABLE,OTHER_DISPOSABLES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
78267,artiss solution,27.15,27.15,DISPOSABLE,LIQUIDS_MEDICINES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
77852,4x4 pack,13.99,11.99,DISPOSABLE,OTHER_DISPOSABLES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
77815,small drapes,6.99,5.99,DISPOSABLE,DRAPING,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
77963,suction device,445.07,445.07,OTHER,DEVICE,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
78264,vicryl ties 3-0,47.74,43.74,DISPOSABLE,SUTURES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
77824,3-0 vicryl undyed,43.74,41.74,DISPOSABLE,SUTURES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
78067,trolley cover,44.27,38.27,DISPOSABLE,DRAPING,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
77814,large drapes,2.99,1.99,DISPOSABLE,DRAPING,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
77826,skin clips,44.74,43.74,DISPOSABLE,SUTURES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
77940,fluroscope drape,39.27,39.27,DISPOSABLE,DRAPING,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
81024,blue fish hook,11.99,8.99,DISPOSABLE,OTHER_DISPOSABLES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
77831,diathermy machine,446.07,446.07,OTHER,DEVICE,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
78033,facial nerve stimulator probe,13.99,9.99,DISPOSABLE,OTHER_DISPOSABLES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
78034,facial nerve needles packs,7.99,7.99,DISPOSABLE,OTHER_DISPOSABLES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
77942,sharps box,11.99,6.99,DISPOSABLE,OTHER_DISPOSABLES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
81026,yellow fish hook,13.99,10.99,DISPOSABLE,OTHER_DISPOSABLES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
77821,15 blade,11.99,7.99,DISPOSABLE,OTHER_DISPOSABLES,,8,Open Total Parotidectomy,1934.14,1868.14,historical,unknown,DEFAULT
78022,t-bar fenestrated clips,37.7,37.7,INSTRUMENT,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77824,vicryl 3-0,63.48,54.48,DISPOSABLE,SUTURES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77969,universal consigned screwdriver,34.7,34.7,INSTRUMENT,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78444,mr8 drill console,431.18,431.18,OTHER,DEVICE,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78046,black chair,9.49,4.49,OTHER,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77997,budde halo,38.7,38.7,INSTRUMENT,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77820,blade 10,10.99,10.99,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77922,mercian curved scissors,36.7,33.7,INSTRUMENT,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77898,small square patties,23.31,23.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77991,mr8 electric drill,38.7,33.7,INSTRUMENT,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77966,mr holland's instruments,42.7,35.7,INSTRUMENT,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77813,spinal pack,8.56,1.56,DISPOSABLE,DRAPING,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77853,medium long patties,20.31,18.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78020,papaverine 40mg/1ml,15.77,10.77,DISPOSABLE,LIQUIDS_MEDICINES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77977,micro patties,28.31,23.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78003,small absorbent drapes,6.56,1.56,DISPOSABLE,DRAPING,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77978,patties large square,28.31,22.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78002,craniotomy drape,1.56,1.56,DISPOSABLE,DRAPING,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78025,curved cairns,37.7,37.7,INSTRUMENT,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,Jeremy Holland,ADDED
77816,microscope cover,5.56,5.56,DISPOSABLE,DRAPING,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78023,colorado needle,11.99,8.99,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,Daniel Holsgrove,ADDED
81026,yellow fish hook,13.99,10.99,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77821,blade 15,14.99,11.99,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78021,straight mercian scissors,34.7,33.7,INSTRUMENT,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78026,elastic bands,23.31,18.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,Jeremy Holland,ADDED
78017,speitzler mallis forceps,25.31,19.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78012,proper surgicel,7.77,6.77,DISPOSABLE,LIQUIDS_MEDICINES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78362,pds 4-0,62.48,56.48,DISPOSABLE,SUTURES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,Helen Raffaelli,ADDED
77897,6 fraiser sucker,23.31,19.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77852,4x4 pack,13.99,11.99,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77823,vicryl 2-0,61.48,56.48,DISPOSABLE,SUTURES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78024,orange needle,23.31,20.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,Daniel Holsgrove,ADDED
77979,codman strips,23.31,20.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78007,12x12 pack,23.31,23.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78015,craniotome cutter,20.31,19.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77924,rhoton dissectors,42.7,33.7,INSTRUMENT,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77963,suction device,445.07,445.07,OTHER,DEVICE,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77817,9 fraiser sucker,18.31,18.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77995,yasargil aneurysm clips std & mini clips tray,38.7,37.7,INSTRUMENT,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77830,microscope,434.18,430.18,OTHER,DEVICE,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77901,blunt needle,28.31,20.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77974,arachnoid knife - straight,20.31,18.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78006,leggings,2.56,2.56,DISPOSABLE,DRAPING,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78008,brackman sucker,19.31,19.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
81024,blue fish hook,11.99,8.99,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77992,avm instruments tray 2,42.7,34.7,INSTRUMENT,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77812,neuro bipolars,43.7,35.7,INSTRUMENT,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77831,diathermy machine,446.07,446.07,OTHER,DEVICE,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78019,verdye 5mg/ml,12.77,5.77,DISPOSABLE,LIQUIDS_MEDICINES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77965,speitzler mallis cable,42.7,38.7,INSTRUMENT,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78009,brain retractor 12.5mm,23.31,22.31,DISPOSABLE,OTHER_DISPOSABLES,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77993,yasargil aneurysm clip appliers & removers,38.7,38.7,INSTRUMENT,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
77811,neuro set up,34.7,34.7,INSTRUMENT,missing,,87,Aneurysm AVF AVM,11751.38,2889.9399999999982,historical,unknown,DEFAULT
78116,6-0 vicryl rapide,46.74,39.74,DISPOSABLE,SUTURES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78105,medtronic rhinoplasty tray,54.73,54.73,INSTRUMENT,missing,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78079,steri-strips,8.99,8.99,DISPOSABLE,OTHER_DISPOSABLES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78127,blue nasal splints,9.99,9.99,DISPOSABLE,OTHER_DISPOSABLES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
77861,blue gauze,13.99,6.99,DISPOSABLE,OTHER_DISPOSABLES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78110,blue needles,7.99,7.99,DISPOSABLE,OTHER_DISPOSABLES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78125,tutoplast fascia lata,13.99,9.99,DISPOSABLE,OTHER_DISPOSABLES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
77829,aqueous betadine,17.03,16.03,DISPOSABLE,LIQUIDS_MEDICINES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
77953,headlights,447.07,447.07,OTHER,DEVICE,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78126,cartilage rib,14.99,6.99,DISPOSABLE,OTHER_DISPOSABLES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
77850,dental needle,14.99,11.99,DISPOSABLE,OTHER_DISPOSABLES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
77822,silk suture 3-0,41.74,41.74,DISPOSABLE,SUTURES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78117,syringe 10ml,11.99,7.99,DISPOSABLE,OTHER_DISPOSABLES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78113,4-0 vicryl rapide,45.74,39.74,DISPOSABLE,SUTURES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78115,5-0 vicryl rapide,45.74,40.74,DISPOSABLE,SUTURES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78119,thermoplastic splint,11.99,11.99,DISPOSABLE,OTHER_DISPOSABLES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
77849,dental syringe,15.99,8.99,DISPOSABLE,OTHER_DISPOSABLES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78129,sodium chloride,18.03,11.03,DISPOSABLE,LIQUIDS_MEDICINES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78112,5-0 pds undyed,43.74,41.74,DISPOSABLE,SUTURES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
77897,6 fraiser sucker,19.31,19.31,DISPOSABLE,OTHER_DISPOSABLES,,221,Septorhinoplasty,18594.1,2508.61,historical,Archana Jaiswal,ADDED
78079,1/2 inch steri-strips,14.99,6.99,DISPOSABLE,OTHER_DISPOSABLES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78109,lignospan cartridges,16.03,12.03,DISPOSABLE,LIQUIDS_MEDICINES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
77822,3-0 silk suture,39.74,39.74,DISPOSABLE,SUTURES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
77963,suction device,445.07,445.07,OTHER,DEVICE,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78113,vicryl rapide 4-0,41.74,41.74,DISPOSABLE,SUTURES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
77817,9 fraiser sucker,18.31,18.31,DISPOSABLE,OTHER_DISPOSABLES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78108,soft tissue pack,33.61,30.61,DISPOSABLE,DRAPING,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78121,mr woolford’s rhinoplasty extras tray,49.73,49.73,INSTRUMENT,missing,,221,Septorhinoplasty,18594.1,2508.61,historical,Bilal Anwar,ADDED
77831,diathermy machine,446.07,446.07,OTHER,DEVICE,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78116,vicryl rapide 6-0,43.74,43.74,DISPOSABLE,SUTURES,,221,Septorhinoplasty,18594.1,2508.61,historical,Raj Bhalla,ADDED
78106,bipolar forcep & cable ent,54.73,52.73,INSTRUMENT,missing,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78111,long sterile cotton buds packs,14.99,10.99,DISPOSABLE,OTHER_DISPOSABLES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
77821,15 blade,11.99,7.99,DISPOSABLE,OTHER_DISPOSABLES,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78124,ent kettle,451.07,444.07,OTHER,DEVICE,,221,Septorhinoplasty,18594.1,2508.61,historical,unknown,DEFAULT
78123,gentamicin solution,16.03,15.03,DISPOSABLE,LIQUIDS_MEDICINES,,221,Septorhinoplasty,18594.1,2508.61,historical,Archana Jaiswal,ADDED
77943,receivers and gallipots,10.99,7.99,DISPOSABLE,OTHER_DISPOSABLES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
78316,small ligaclips,11.99,8.99,DISPOSABLE,OTHER_DISPOSABLES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
77820,10 blade,11.99,7.99,DISPOSABLE,OTHER_DISPOSABLES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
78079,steri-strips,8.99,8.99,DISPOSABLE,OTHER_DISPOSABLES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
78246,soft tissue tray,131.1,129.1,INSTRUMENT,missing,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
77899,pledgets/lamis,11.99,6.99,DISPOSABLE,OTHER_DISPOSABLES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
77944,light handle,16.99,11.99,DISPOSABLE,OTHER_DISPOSABLES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
78064,magnetic mat,51.72,49.72,INSTRUMENT,missing,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
77852,4x4 pack,13.99,11.99,DISPOSABLE,OTHER_DISPOSABLES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
78320,2-0 vicryl ties,48.74,39.74,DISPOSABLE,SUTURES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
77815,small drapes,6.99,5.99,DISPOSABLE,DRAPING,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
78067,trolley covers,7.96,6.96,DISPOSABLE,DRAPING,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
77963,suction device,445.07,445.07,OTHER,DEVICE,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
77817,9 fraiser sucker,18.31,18.31,DISPOSABLE,OTHER_DISPOSABLES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
77855,suction tubing,8.99,8.99,DISPOSABLE,OTHER_DISPOSABLES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
77824,3-0 vicryl undyed,43.74,41.74,DISPOSABLE,SUTURES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
78312,thyroid tray,129.1,127.1,INSTRUMENT,missing,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
78325,4-0 monocryl,38.74,38.74,DISPOSABLE,SUTURES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
77814,large drapes,2.99,1.99,DISPOSABLE,DRAPING,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
87030,harmonic console,454.07,449.07,OTHER,DEVICE,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,Antonia Tse,ADDED
81024,blue fish hook,11.99,8.99,DISPOSABLE,OTHER_DISPOSABLES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,Antonia Tse,ADDED
87029,harmonic blue tray,54.39,54.39,INSTRUMENT,missing,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,Antonia Tse,ADDED
78416,yankauer sucker,11.99,7.99,DISPOSABLE,OTHER_DISPOSABLES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
77831,diathermy machine,446.07,446.07,OTHER,DEVICE,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
77900,small surgicel 5x7.5cm,9.86,8.86,DISPOSABLE,LIQUIDS_MEDICINES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,Antonia Tse,ADDED
77942,sharps box,11.99,6.99,DISPOSABLE,OTHER_DISPOSABLES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
78327,bupivacaine 0.25% with adrenaline,8.25,7.25,DISPOSABLE,LIQUIDS_MEDICINES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
78507,medium ligaclips,11.99,7.99,DISPOSABLE,OTHER_DISPOSABLES,,247,Open (Sub)total Thyroidectomy - Transcervical Approach,5149.0599999999995,1975.98,historical,unknown,DEFAULT
78051,evd drainage bag,20.91,20.91,DISPOSABLE,OTHER_DISPOSABLES,,282,Burrhole Evacuation for Haematoma,1841.22,1793.2199999999998,historical,unknown,DEFAULT
